player_name,sg_total,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g
Emiliano Grillo,0.229,0.501,-0.471,0.066,0.133,-0.272
Jorge Campillo,0.226,-0.063,0.412,0.011,-0.134,0.289
Sami Valimaki,0.206,0.203,-0.268,-0.03,0.3,0.003
K.H. Lee,0.201,0.095,0.235,-0.259,0.129,0.106
S.H. Kim,0.194,0.424,0.442,-0.303,-0.369,-0.23
Dylan Wu,0.182,-0.01,0.13,0.337,-0.274,0.193
Aaron Baddeley,0.181,0.857,0.643,-0.464,-0.856,-0.677
Patrick Rodgers,0.176,0.007,0.023,-0.142,0.288,0.169
Jacob Bridgeman,0.169,0.382,-0.12,0.195,-0.289,-0.213
Sam Stevens,0.168,0.182,0.053,-0.269,0.201,-0.014
Kevin Dougherty,0.132,0.133,-0.779,-0.129,0.907,-0.001
Thomas Detry,0.111,0.535,-0.396,-0.281,0.252,-0.425
Martin Laird,0.109,0.163,0.388,-0.109,-0.335,-0.055
Jimmy Stanger,0.1,0.034,0.042,-0.465,0.488,0.066
Adam Hadwin,0.09,0.13,0.034,-0.066,-0.009,-0.041
Taylor Pendrith,0.078,0.538,0.063,-0.174,-0.349,-0.46
Chesson Hadley,0.075,0.393,-0.145,-0.195,0.022,-0.318
Ryo Hisatsune,0.06,-0.151,0.287,0.137,-0.213,0.211
Charley Hoffman,0.053,-0.098,0.013,0.126,0.012,0.151
Roger Sloan,0.035,-0.223,0.656,-0.031,-0.367,0.258
Sungjae Im,0.029,-0.179,0.098,-0.238,0.348,0.208
Carl Yuan,0.025,-0.315,0.217,-0.248,0.371,0.34
David Skinns,0.007,-0.079,0.117,0.018,-0.048,0.086
Harry Hall,-0.002,-0.112,0.358,0.017,-0.264,0.11
Carson Young,-0.015,-0.043,-0.341,0.21,0.158,0.027
Sepp Straka,-0.016,-0.051,-0.222,-0.086,0.342,0.035
Greyson Sigg,-0.055,-0.646,0.154,0.449,-0.012,0.59
Zach Johnson,-0.057,0.166,-0.081,-0.235,0.093,-0.223
Scott Stallings,-0.063,-0.543,0.182,0.55,-0.252,0.48
Chris Gotterup,-0.068,0.336,-0.108,-0.375,0.08,-0.404
Webb Simpson,-0.076,-0.405,0.4,-0.347,0.275,0.329
Grayson Murray,-0.081,-0.131,-0.03,-0.07,0.149,0.05
Wilson Furr,-0.087,0.421,0.391,-0.707,-0.192,-0.508
Sam Ryder,-0.101,0.361,-0.338,0.322,-0.447,-0.462
Matti Schmid,-0.117,0.173,-0.286,-0.2,0.196,-0.29
Luke List,-0.137,-0.197,-0.419,0.424,0.055,0.06
Tommy Fleetwood,-0.14,0.023,0.379,-0.721,0.179,-0.162
Keegan Bradley,-0.141,-0.655,0.051,0.407,0.056,0.514
Kevin Yu,-0.146,-0.642,-0.726,0.36,0.862,0.496
Min Woo Lee,-0.152,-0.448,0.021,-0.253,0.528,0.296
Garrick Higgo,-0.157,0.372,-0.131,-0.336,-0.061,-0.528
Chad Ramey,-0.165,0.734,0.059,-0.819,-0.14,-0.899
Viktor Hovland,-0.177,0.218,-0.811,-0.079,0.494,-0.395
Cameron Champ,-0.209,0.455,-0.622,-0.869,0.827,-0.664
Matt Wallace,-0.222,0.29,0.065,-0.009,-0.568,-0.513
Chez Reavie,-0.235,-0.248,0.531,0.163,-0.681,0.013
Joel Dahmen,-0.244,-1.039,-0.221,0.603,0.412,0.795
Nicolai Højgaard,-0.269,-0.44,-0.473,0.171,0.474,0.172
Rico Hoey,-0.288,-0.9,-0.333,0.322,0.623,0.611
Jhonattan Vegas,-0.306,-0.901,-0.388,0.562,0.421,0.595
Seamus Power,-0.313,-0.31,0.09,0.067,-0.161,-0.003
Tom Whitney,-0.318,-0.017,-0.658,0.119,0.238,-0.301
Lanto Griffin,-0.329,-0.347,-0.312,0.108,0.223,0.018
Thorbjørn Olesen,-0.331,-0.266,0.294,0.157,-0.515,-0.065
Tom Kim,-0.334,-0.083,-0.051,0.001,-0.201,-0.25
Robert MacIntyre,-0.339,-0.436,0.043,-0.053,0.107,0.097
Robby Shelton,-0.341,-0.169,0.361,0.125,-0.658,-0.172
Erik Barnes,-0.359,0.064,0.043,-0.081,-0.385,-0.423
Kevin Streelman,-0.381,-0.407,-0.079,-0.175,0.279,0.026
Nick Hardy,-0.385,0.146,-0.566,-0.17,0.205,-0.531
Brandon Wu,-0.396,0.05,-0.094,-0.084,-0.267,-0.446
Adam Svensson,-0.429,-0.478,-0.073,0.299,-0.177,0.049
Michael Kim,-0.452,0.095,-0.018,0.085,-0.613,-0.547
Nico Echavarria,-0.457,0.295,-0.09,-0.578,-0.084,-0.752
Alexander Björk,-0.485,0.847,-0.436,-0.362,-0.534,-1.332
Ryan Fox,-0.488,0.056,-0.206,0.053,-0.391,-0.544
Troy Merritt,-0.518,-0.552,0.283,-0.062,-0.186,0.034
Ryan Palmer,-0.53,-0.726,-0.035,-0.115,0.346,0.197
Rafael Campos,-0.558,-0.319,-0.367,-0.288,0.415,-0.239
Lee Hodges,-0.572,-0.134,-0.45,0.129,-0.117,-0.438
Zac Blair,-0.601,-0.353,0.358,-0.125,-0.482,-0.248
Justin Rose,-0.606,0.264,0.065,-0.773,-0.163,-0.871
Alejandro Tosti,-0.633,-0.384,-0.406,-0.653,0.811,-0.248
Cam Davis,-0.692,-0.058,-0.296,-0.163,-0.174,-0.633
Tyler Duncan,-0.699,-0.591,0.006,-0.459,0.344,-0.108
Trace Crowe,-0.704,0.344,-0.404,-0.836,0.191,-1.049
J.J. Spaun,-0.739,-0.407,-0.161,0.094,-0.266,-0.332
Daniel Berger,-0.741,-1.079,-0.177,0.161,0.354,0.338
Patton Kizzire,-0.795,-0.334,-0.718,0.397,-0.14,-0.461
Bronson Burgoon,-0.802,-0.553,-0.195,-0.226,0.173,-0.249
Kevin Chappell,-0.829,0.162,0.398,-0.722,-0.668,-0.992
Rickie Fowler,-0.831,-0.244,0.162,-0.144,-0.606,-0.587
Justin Suh,-0.855,0.715,-0.583,-0.943,-0.044,-1.57
Harrison Endycott,-0.899,-0.425,-0.077,-0.542,0.145,-0.474
Matt Kuchar,-0.922,0.032,0.228,-1.123,-0.059,-0.954
Gary Woodland,-0.954,-0.69,-0.263,0.166,-0.167,-0.264
Nick Dunlap,-1.001,0.12,0.019,-0.514,-0.626,-1.121
